docente_id,dia,hora,estado
363,LUNES,08:30,disponible
363,LUNES,09:15,disponible
363,LUNES,10:15,disponible
363,LUNES,11:00,disponible
363,LUNES,12:00,disponible
363,LUNES,12:45,disponible
363,LUNES,14:30,disponible
363,LUNES,15:15,disponible
363,LUNES,16:15,disponible
363,LUNES,17:00,disponible
363,LUNES,18:00,disponible
363,LUNES,18:45,disponible
363,LUNES,19:45,disponible
363,LUNES,20:30,disponible
363,LUNES,21:30,disponible
363,LUNES,22:15,disponible
363,MARTES,08:30,disponible
363,MARTES,09:15,disponible
363,MARTES,10:15,disponible
363,MARTES,11:00,disponible
363,MARTES,12:00,disponible
363,MARTES,12:45,disponible
363,MARTES,14:30,disponible
363,MARTES,15:15,disponible
363,MARTES,16:15,disponible
363,MARTES,17:00,disponible
363,MARTES,18:00,disponible
363,MARTES,18:45,disponible
363,MARTES,19:45,disponible
363,MARTES,20:30,disponible
363,MARTES,21:30,disponible
363,MARTES,22:15,disponible
363,MIERCOLES,08:30,disponible
363,MIERCOLES,09:15,disponible
363,MIERCOLES,10:15,disponible
363,MIERCOLES,11:00,disponible
363,MIERCOLES,12:00,disponible
363,MIERCOLES,12:45,disponible
363,MIERCOLES,14:30,disponible
363,MIERCOLES,15:15,disponible
363,MIERCOLES,16:15,disponible
363,MIERCOLES,17:00,disponible
363,MIERCOLES,18:00,disponible
363,MIERCOLES,18:45,disponible
363,MIERCOLES,19:45,disponible
363,MIERCOLES,20:30,disponible
363,MIERCOLES,21:30,disponible
363,MIERCOLES,22:15,disponible
363,JUEVES,08:30,disponible
363,JUEVES,09:15,disponible
363,JUEVES,10:15,disponible
363,JUEVES,11:00,disponible
363,JUEVES,12:00,disponible
363,JUEVES,12:45,disponible
363,JUEVES,14:30,disponible
363,JUEVES,15:15,disponible
363,JUEVES,16:15,disponible
363,JUEVES,17:00,disponible
363,JUEVES,18:00,disponible
363,JUEVES,18:45,disponible
363,JUEVES,19:45,disponible
363,JUEVES,20:30,disponible
363,JUEVES,21:30,disponible
363,JUEVES,22:15,disponible
363,VIERNES,08:30,ocupado
363,VIERNES,09:15,ocupado
363,VIERNES,10:15,ocupado
363,VIERNES,11:00,disponible
363,VIERNES,12:00,disponible
363,VIERNES,12:45,disponible
363,VIERNES,14:30,disponible
363,VIERNES,15:15,disponible
363,VIERNES,16:15,disponible
363,VIERNES,17:00,disponible
363,VIERNES,18:00,disponible
363,VIERNES,18:45,disponible
363,VIERNES,19:45,disponible
363,VIERNES,20:30,disponible
363,VIERNES,21:30,disponible
363,VIERNES,22:15,disponible
333,LUNES,08:30,disponible
333,LUNES,09:15,disponible
333,LUNES,10:15,disponible
333,LUNES,11:00,disponible
333,LUNES,12:00,disponible
333,LUNES,12:45,disponible
333,LUNES,14:30,disponible
333,LUNES,15:15,disponible
333,LUNES,16:15,disponible
333,LUNES,17:00,disponible
333,LUNES,18:00,disponible
333,LUNES,18:45,disponible
333,LUNES,19:45,disponible
333,LUNES,20:30,disponible
333,MARTES,08:30,disponible
333,MARTES,09:15,disponible
333,MARTES,10:15,disponible
333,MARTES,11:00,disponible
333,MARTES,12:00,disponible
333,MARTES,12:45,disponible
333,MARTES,14:30,disponible
333,MARTES,15:15,disponible
333,MARTES,16:15,disponible
333,MARTES,17:00,disponible
333,MARTES,18:00,disponible
333,MARTES,18:45,disponible
333,MARTES,19:45,disponible
333,MARTES,20:30,disponible
333,MIERCOLES,08:30,disponible
333,MIERCOLES,09:15,disponible
333,MIERCOLES,10:15,disponible
333,MIERCOLES,11:00,disponible
333,MIERCOLES,12:00,disponible
333,MIERCOLES,12:45,disponible
333,MIERCOLES,14:30,disponible
333,MIERCOLES,15:15,disponible
333,MIERCOLES,16:15,disponible
333,MIERCOLES,17:00,disponible
333,MIERCOLES,18:00,disponible
333,MIERCOLES,18:45,disponible
333,MIERCOLES,19:45,disponible
333,MIERCOLES,20:30,disponible
333,JUEVES,08:30,disponible
333,JUEVES,09:15,disponible
333,JUEVES,10:15,disponible
333,JUEVES,11:00,disponible
333,JUEVES,12:00,disponible
333,JUEVES,12:45,disponible
333,JUEVES,14:30,disponible
333,JUEVES,15:15,disponible
333,JUEVES,16:15,disponible
333,JUEVES,17:00,disponible
333,JUEVES,18:00,disponible
333,JUEVES,18:45,disponible
333,JUEVES,19:45,disponible
333,JUEVES,20:30,disponible
333,VIERNES,08:30,disponible
333,VIERNES,09:15,disponible
333,VIERNES,10:15,disponible
333,VIERNES,11:00,disponible
333,VIERNES,12:00,disponible
333,VIERNES,12:45,disponible
333,VIERNES,14:30,disponible
333,VIERNES,15:15,disponible
333,VIERNES,16:15,disponible
333,VIERNES,17:00,disponible
333,VIERNES,18:00,disponible
333,VIERNES,18:45,disponible
333,VIERNES,19:45,disponible
333,VIERNES,20:30,disponible
381,LUNES,08:30,disponible
381,LUNES,09:15,disponible
381,LUNES,10:15,disponible
381,LUNES,11:00,disponible
381,LUNES,12:00,disponible
381,LUNES,12:45,disponible
381,LUNES,14:30,disponible
381,LUNES,15:15,disponible
381,LUNES,16:15,disponible
381,LUNES,17:00,disponible
381,LUNES,18:00,disponible
381,LUNES,18:45,disponible
381,LUNES,19:45,disponible
381,LUNES,20:30,disponible
381,LUNES,21:30,disponible
381,LUNES,22:15,disponible
381,MARTES,08:30,disponible
381,MARTES,09:15,disponible
381,MARTES,10:15,disponible
381,MARTES,11:00,disponible
381,MARTES,12:00,ocupado
381,MARTES,12:45,ocupado
381,MARTES,14:30,disponible
381,MARTES,15:15,disponible
381,MARTES,16:15,disponible
381,MARTES,17:00,disponible
381,MARTES,18:00,disponible
381,MARTES,18:45,disponible
381,MARTES,19:45,disponible
381,MARTES,20:30,disponible
381,MARTES,21:30,disponible
381,MARTES,22:15,disponible
381,MIERCOLES,08:30,disponible
381,MIERCOLES,09:15,disponible
381,MIERCOLES,10:15,disponible
381,MIERCOLES,11:00,disponible
381,MIERCOLES,12:00,disponible
381,MIERCOLES,12:45,disponible
381,MIERCOLES,14:30,disponible
381,MIERCOLES,15:15,disponible
381,MIERCOLES,16:15,disponible
381,MIERCOLES,17:00,disponible
381,MIERCOLES,18:00,disponible
381,MIERCOLES,18:45,disponible
381,MIERCOLES,19:45,disponible
381,MIERCOLES,20:30,disponible
381,MIERCOLES,21:30,disponible
381,MIERCOLES,22:15,disponible
381,JUEVES,08:30,disponible
381,JUEVES,09:15,disponible
381,JUEVES,10:15,disponible
381,JUEVES,11:00,disponible
381,JUEVES,12:00,disponible
381,JUEVES,12:45,disponible
381,JUEVES,14:30,disponible
381,JUEVES,15:15,disponible
381,JUEVES,16:15,disponible
381,JUEVES,17:00,disponible
381,JUEVES,18:00,disponible
381,JUEVES,18:45,disponible
381,JUEVES,19:45,disponible
381,JUEVES,20:30,disponible
381,JUEVES,21:30,disponible
381,JUEVES,22:15,disponible
381,VIERNES,08:30,disponible
381,VIERNES,09:15,disponible
381,VIERNES,10:15,disponible
381,VIERNES,11:00,disponible
381,VIERNES,12:00,disponible
381,VIERNES,12:45,disponible
381,VIERNES,14:30,disponible
381,VIERNES,15:15,disponible
381,VIERNES,16:15,disponible
381,VIERNES,17:00,disponible
381,VIERNES,18:00,disponible
381,VIERNES,18:45,disponible
381,VIERNES,19:45,disponible
381,VIERNES,20:30,disponible
381,VIERNES,21:30,disponible
381,VIERNES,22:15,disponible
351,LUNES,08:30,disponible
351,LUNES,09:15,disponible
351,LUNES,10:15,disponible
351,LUNES,11:00,disponible
351,LUNES,12:00,disponible
351,LUNES,12:45,disponible
351,LUNES,14:30,disponible
351,LUNES,15:15,disponible
351,LUNES,16:15,disponible
351,LUNES,17:00,disponible
351,LUNES,18:00,disponible
351,LUNES,18:45,disponible
351,LUNES,19:45,disponible
351,LUNES,20:30,disponible
351,MARTES,08:30,disponible
351,MARTES,09:15,disponible
351,MARTES,10:15,disponible
351,MARTES,11:00,disponible
351,MARTES,12:00,disponible
351,MARTES,12:45,disponible
351,MARTES,14:30,disponible
351,MARTES,15:15,disponible
351,MARTES,16:15,disponible
351,MARTES,17:00,disponible
351,MARTES,18:00,disponible
351,MARTES,18:45,disponible
351,MARTES,19:45,disponible
351,MARTES,20:30,disponible
351,MIERCOLES,08:30,disponible
351,MIERCOLES,09:15,disponible
351,MIERCOLES,10:15,disponible
351,MIERCOLES,11:00,disponible
351,MIERCOLES,12:00,disponible
351,MIERCOLES,12:45,disponible
351,MIERCOLES,14:30,disponible
351,MIERCOLES,15:15,disponible
351,MIERCOLES,16:15,disponible
351,MIERCOLES,17:00,disponible
351,MIERCOLES,18:00,disponible
351,MIERCOLES,18:45,disponible
351,MIERCOLES,19:45,disponible
351,MIERCOLES,20:30,disponible
